"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000102243.11",1.152969,-0.4089368,0.9371157,-0.4363781,0.6625624,NA
"ENSG00000277329.1",0.3145286,0.3552934,0.8142839,0.4363263,0.6626,NA
"ENSG00000172478.16",860.3784,0.1802969,0.4132504,0.4362898,0.6626265,0.9750518
"ENSG00000250260.1",0.1816166,-0.4100056,0.9397732,-0.4362815,0.6626325,NA
"ENSG00000179222.16",7289.74,0.09050294,0.2074497,0.4362646,0.6626448,0.9750518
"ENSG00000173660.10",4336.869,-0.07140134,0.1636773,-0.4362324,0.6626682,0.9750518
"ENSG00000204311.10",56.03709,0.08492539,0.1946987,0.4361889,0.6626997,0.9750518
"ENSG00000121274.11",694.1215,0.06265487,0.1436569,0.4361424,0.6627334,0.9750518
"ENSG00000240707.2",0.2602557,-0.363829,0.8342904,-0.4360939,0.6627686,NA
"ENSG00000266944.1",1.250898,0.1815032,0.4162089,0.4360869,0.6627737,NA
"ENSG00000229591.1",2.286804,0.1402311,0.3215723,0.4360795,0.662779,0.9750518
"ENSG00000280170.1",0.2613988,-0.2670972,0.6124969,-0.4360793,0.6627792,NA
"ENSG00000070961.13",1551.975,-0.06361763,0.1458986,-0.4360399,0.6628078,0.9750518
"ENSG00000258870.1",0.3151324,0.341528,0.7834256,0.4359418,0.662879,NA
"ENSG00000232040.2",172.9793,-0.1601631,0.3674461,-0.4358818,0.6629225,0.9750518
"ENSG00000187527.9",0.4789378,-0.3601567,0.82629,-0.4358721,0.6629296,NA
"ENSG00000253122.1",0.1960603,0.9507974,2.181531,0.4358395,0.6629532,NA
"ENSG00000117174.9",419.021,-0.05081673,0.1166035,-0.4358077,0.6629762,0.9750518
"ENSG00000259500.1",3.475882,-0.1624422,0.3727498,-0.4357942,0.662986,0.9750518
"ENSG00000223730.1",0.2156248,-0.4093308,0.9394432,-0.4357164,0.6630425,NA
"ENSG00000148484.16",2045.612,0.05023013,0.1152821,0.4357148,0.6630437,0.9750518
"ENSG00000261275.1",0.1864289,-0.7558963,1.735077,-0.4356558,0.6630865,NA
"ENSG00000187474.4",384.2292,-0.115026,0.264061,-0.4356039,0.6631241,0.9750518
"ENSG00000101076.15",13188.25,0.08717965,0.2001578,0.4355547,0.6631598,0.9750518
"ENSG00000225460.1",0.3333738,-0.2931307,0.673026,-0.4355415,0.6631694,NA
"ENSG00000139190.15",273.709,0.0952016,0.2185847,0.4355364,0.6631731,0.9750518
"ENSG00000238711.1",0.3668591,0.3343255,0.7676729,0.4355052,0.6631958,NA
"ENSG00000100181.20",10.78489,-0.1364557,0.3133293,-0.4355025,0.6631977,0.9750518
"ENSG00000012211.11",226.0797,-0.049803,0.1143604,-0.4354915,0.6632057,0.9750518
"ENSG00000256357.1",1.472305,0.2354927,0.54076,0.4354846,0.6632107,NA
"ENSG00000155099.6",303.0824,0.1145484,0.263042,0.4354758,0.6632171,0.9750518
"ENSG00000166669.12",928.1793,-0.08961436,0.2057975,-0.4354492,0.6632364,0.9750518
"ENSG00000104774.11",3365.438,-0.05831469,0.1339193,-0.4354464,0.6632384,0.9750518
"ENSG00000260886.1",51.07529,0.1695688,0.3894138,0.4354464,0.6632385,0.9750518
"ENSG00000270966.1",0.5536911,0.2487266,0.5712267,0.4354254,0.6632537,NA
"ENSG00000196460.11",20.16449,-0.09916748,0.2277534,-0.4354161,0.6632604,0.9750518
"ENSG00000260862.1",0.1697731,-0.4795031,1.101433,-0.4353448,0.6633122,NA
"ENSG00000260646.1",2.532657,-0.1385093,0.318218,-0.4352655,0.6633697,0.9751568
"ENSG00000227890.1",0.4534326,0.3057401,0.7025169,0.4352068,0.6634123,NA
